wdpaid,status,expiry_date,url
322,Candidate,,
10279,Candidate,,
106711,Candidate,,
18998,Candidate,,
62716,Candidate,,
3981,Candidate,,
15260,Candidate,,
10754,Green Listed,31-12-2019,https://iucngreenlist.org/sites/parque-nacional-natural-gorgona/
108125,Green Listed,27-01-2023,https://iucngreenlist.org/sites/parque-nacional-zona-marina-del-archipielago-de-espiritu-santo/
12223,Green Listed,31-12-2019,https://iucngreenlist.org/sites/galeras-santuario-de-flora-y-fauna-galeras/
13165,Candidate,,
13966,Green Listed,31-12-2019,https://iucngreenlist.org/sites/parque-nacional-natural-tatama/
143,Green Listed,31-12-2025,https://iucngreenlist.org/sites/chingaza-natural-national-park/
147283,Candidate,,
147297,Relisted,31-12-2023,https://iucngreenlist.org/sites/guadeloupe-national-park/
147302,Green Listed,31-12-2025,https://iucngreenlist.org/sites/ile-du-grand-connetable-national-nature-reserve/
15089,Candidate,,
168201,Candidate,,
17231,Green Listed,27-10-2023,https://iucngreenlist.org/sites/ajloun-forest-reserve/
17360,Candidate,,
17709,Green Listed,31-12-2023,https://iucngreenlist.org/sites/azraq-wetland-reserve/
17744,Candidate,,
1850_A,Candidate,,
1850_B,Candidate,,
18805,Candidate,,
18807,Candidate,,
20299,Candidate,,
256,Candidate,,
26625,Candidate,,
26654,Relisted,31-12-2025,https://iucngreenlist.org/sites/mount-huangshan-scenic-area/
3014,Candidate,,
303038,Candidate,,
303045,Green Listed,31-12-2025,https://iucngreenlist.org/sites/van-long-nature-reserve/
303072,Candidate,,
303317,Green Listed,27-10-2023,https://iucngreenlist.org/sites/reserva-comunal-amarakaeri/
303320,Green Listed,27-10-2023,https://iucngreenlist.org/sites/parque-nacional-cordillera-azul/
303552,Green Listed,31-12-2025,https://iucngreenlist.org/sites/malpelo-fauna-and-flora-sanctuary/
306777,Candidate,,
306779,Candidate,,
306780,Candidate,,
306793_A,Candidate,,
306793_B,Candidate,,
306808,Green Listed,19-03-2024,https://iucngreenlist.org/sites/reserva-de-la-biosfera-isla-san-pedro-martir/
306844_A,Candidate,,
306844_B,Candidate,,
30697,Candidate,,
309970,Relisted,31-12-2024,https://iucngreenlist.org/sites/arakwal-national-park-and-cape-byron-state-conservation-area/
354414,Relisted,31-12-2024,https://iucngreenlist.org/sites/arakwal-national-park-and-cape-byron-state-conservation-area/
311888,Candidate,,
313091,Candidate,,
32674,Candidate,,
330608,Green Listed,19-03-2024,https://iucngreenlist.org/sites/reserve-biologique-dirigee-hochfeld/
345888,Green Listed,31-12-2023,https://iucngreenlist.org/sites/reserve-naturelle-nationale-des-terres-australes-francaises/
345942,Green Listed,31-12-2023,https://iucngreenlist.org/sites/reserve-biologique-integrale-du-bois-du-loch/
365025,Candidate,,
36534,Candidate,,
388659,Relisted,19-03-2024,https://iucngreenlist.org/sites/natural-marine-park-of-iroise/
389011,Green Listed,31-12-2019,https://iucngreenlist.org/sites/espacio-natural-de-sierra-nevada/
349467,Green Listed,31-12-2019,https://iucngreenlist.org/sites/espacio-natural-de-sierra-nevada/
4044,Relisted,31-12-2023,https://iucngreenlist.org/sites/marine-natural-reserve-of-cerbere-banyuls%e2%80%af/
4114,Candidate,,
555514399,Candidate,,
555525592,Candidate,,
555525849,Candidate,,
555526032,Candidate,,
555526036,Candidate,,
555526045,Candidate,,
555526606,Candidate,,
555526767,Candidate,,
555539517,Candidate,,
555542446,Candidate,,
555544085,Candidate,,
555547502,Green Listed,31-12-2023,https://iucngreenlist.org/sites/parc-marin-de-la-cote-bleue/
555548807,Candidate,,
555555490,Green Listed,27-10-2023,https://iucngreenlist.org/sites/lewa-wildlife-conservancy/
555555499,Relisted,27-10-2023,https://iucngreenlist.org/sites/ol-pejeta-conservancy/
555555513,Candidate,,
555555517,Green Listed,27-10-2023,https://iucngreenlist.org/sites/ol-kinyei-conservancy/
555558374,Green Listed,31-12-2023,https://iucngreenlist.org/sites/al-wathba-wetland-reserve/
555577562,Candidate,,
555577562,Candidate,,
555582988,Candidate,,
555599909,Candidate,,
555624257,Candidate,,
555624365,Candidate,,
555637437,Candidate,,
555697546,Candidate,,
61595,Candidate,,
6271,Candidate,,
62735,Green Listed,19-03-2024,https://iucngreenlist.org/sites/reserve-biologique-dirigee-du-champ-du-feu/
62990,Candidate,,
6307,Green Listed,31-12-2023,https://iucngreenlist.org/sites/parc-naturel-regional-des-vosges-du-nord/
63136,Relisted,31-12-2024,https://iucngreenlist.org/sites/montague-island-nature-reserve/
63642,Candidate,,
64511,Candidate,,
659,Green Listed,19-03-2023,https://iucngreenlist.org/sites/parc-national-des-ecrins/
662,Relisted,31-12-2023,https://iucngreenlist.org/sites/pyrenees-national-park/
663,Candidate,,
67860,Green Listed,31-12-2019,https://iucngreenlist.org/sites/eastern-dongting-lake-national-nature-reserve/
68137,Candidate,,
718,Green Listed,31-12-2019,https://iucngreenlist.org/sites/gran-paradiso-national-park/
721,Candidate,,
7523,Candidate,,
767,Green Listed,31-12-2019,https://iucngreenlist.org/sites/jirisan-national-park/
768,Green Listed,31-12-2019,https://iucngreenlist.org/sites/seoraksan-national-park/
769,Green Listed,31-12-2019,https://iucngreenlist.org/sites/odaesan-national-park/
7873,Candidate,,
7878,Candidate,,
819,Candidate,,
83037,Relisted,31-12-2023,https://iucngreenlist.org/sites/marais-depisy-nature-reserve/
83268,Green Listed,31-12-2023,https://iucngreenlist.org/sites/reserve-nationale-de-chasse-et-de-faune-sauvage-dorlu/
902487,Green Listed,27-10-2023,https://iucngreenlist.org/sites/wadi-al-hitan/
902497,Green Listed,31-12-2023,https://iucngreenlist.org/sites/al-shouf-cedar-nature-reserve/
915,Candidate,,
95349,Candidate,,
9782,Green Listed,31-12-2023,https://iucngreenlist.org/sites/ras-mohammed-national-park/
61611,Green Listed,31-12-2019,https://iucngreenlist.org/sites/donana-natural-space/
